Time,Region,PC,PCC,ECPC,AP,Temperature
2025,COL,201.3546,126.692955,121.41534,160.33163,1.5 deg at 50% with small overshoot
2025,COM,3.2185347,0.70814466,0.9975212,0.5137297,1.5 deg at 50% with small overshoot
2025,CPV,2.3129034,0.6634116,0.70285386,0.6119093,1.5 deg at 50% with small overshoot
2025,CRI,20.285088,8.243603,8.09668,10.276324,1.5 deg at 50% with small overshoot
2025,CUB,44.592194,16.805815,13.744962,19.710793,1.5 deg at 50% with small overshoot
2025,CYP,4.9134593,5.162526,4.995347,6.0857344,1.5 deg at 50% with small overshoot
2025,CZE,41.87061,63.318146,55.669167,84.89182,1.5 deg at 50% with small overshoot
2025,DEU,329.1616,479.28253,420.67822,595.50885,1.5 deg at 50% with small overshoot
2025,DJI,4.3317595,0.9306231,1.0966946,0.6483195,1.5 deg at 50% with small overshoot
2025,DMA,,,0.06085171,,1.5 deg at 50% with small overshoot
2025,DNK,23.025034,23.521477,19.563585,28.917421,1.5 deg at 50% with small overshoot
2025,DOM,43.681107,20.57921,21.176054,28.713333,1.5 deg at 50% with small overshoot
2025,DZA,173.0819,144.00333,152.66708,194.221,1.5 deg at 50% with small overshoot
2025,EARTH,31102.582,30960.814,30767.854,42477.965,1.5 deg at 50% with small overshoot
2025,ECU,69.80415,42.33529,40.12128,52.36157,1.5 deg at 50% with small overshoot
2025,EGY,428.29367,224.1493,257.0753,263.8087,1.5 deg at 50% with small overshoot
2025,ERI,14.180532,4.1936893,5.337303,4.3333516,1.5 deg at 50% with small overshoot
2025,ESP,187.16022,167.75548,150.53969,207.25896,1.5 deg at 50% with small overshoot
2025,EST,5.264388,8.487257,7.057677,10.750813,1.5 deg at 50% with small overshoot
2025,ETH,468.7751,150.5556,213.22548,166.90558,1.5 deg at 50% with small overshoot
2025,EU,1759.9069,2026.9714,1803.6946,2521.5945,1.5 deg at 50% with small overshoot
2025,FIN,21.832954,39.003902,34.67429,49.460682,1.5 deg at 50% with small overshoot
2025,FJI,3.6451771,1.2850571,1.1072091,1.1960913,1.5 deg at 50% with small overshoot
